Designator,Mid X,Mid Y,Rotation,Layer
C1,148.83,-76.71,180.0,top
C10,161.47,-69.62,0.0,top
C11,158.533333,-80.97,270.0,top
C12,155.47,-80.97,270.0,top
C13,154.5,-80.97,270.0,top
C14,156.44,-80.97,270.0,top
C15,151.41,-78.41,180.0,top
C16,151.36,-75.4,180.0,top
C17,157.396667,-80.97,270.0,top
C18,157.65,-68.62,90.0,top
C19,170.75,-69.26,180.0,top
C2,150.82,-72.59,270.0,top
C20,168.705,-79.8075,0.0,top
C21,176.2,-75.24,270.0,top
C22,176.96,-68.68,180.0,top
C23,142.75,-69.19,45.0,top
C24,180.355,-68.58,0.0,top
C3,160.95,-79.99,180.0,top
C4,165.83,-80.1,90.0,top
C5,164.83,-79.07,270.0,top
C6,168.28,-75.88,180.0,top
C7,162.71,-74.99,0.0,top
C8,159.49,-80.97,270.0,top
C9,155.88,-68.63,90.0,top
D1,136.92,-82.015,270.0,top
D2,139.46,-82.01625,270.0,top
D3,142.0,-82.015,270.0,top
D4,144.54,-82.01625,270.0,top
D5,150.7,-80.06125,0.0,top
D6,150.75,-81.13125,0.0,top
J1,182.925,-74.8,90.0,top
J2,159.805,-65.93,90.0,bottom
J3,159.805,-83.71,90.0,bottom
L1,163.125,-78.31,90.0,top
L2,173.57,-69.26,0.0,top
L3,173.66,-75.475,0.0,top
R1,183.61,-81.07,0.0,top
R10,170.81,-73.71,90.0,top
R11,176.46,-70.89,270.0,top
R12,176.52,-73.09,270.0,top
R13,135.71,-70.0,90.0,top
R14,135.61,-76.11,270.0,top
R15,135.2,-78.41,270.0,top
R16,136.92,-80.1075,270.0,top
R17,139.46,-80.13,270.0,top
R18,142.0,-80.15,270.0,top
R19,144.54,-80.10625,270.0,top
R2,183.57,-68.46,0.0,top
R20,152.66,-81.13125,0.0,top
R21,152.61,-80.06125,0.0,top
R3,165.81,-76.55,0.0,top
R4,165.81,-77.55,0.0,top
R5,151.35,-74.41,0.0,top
R6,164.38,-80.57,180.0,top
R7,178.24,-81.12,180.0,top
R9,170.81,-71.0,90.0,top
SW1,173.96,-79.81,0.0,top
U1,140.9275,-74.65,180.0,top
U2,157.085,-74.81,270.0,top
U3,166.885,-71.96,270.0,top
U4,173.59,-72.36,270.0,top
U5,135.31,-73.2875,270.0,top
Y1,148.51,-74.01,270.0,top
